Code,Fluggesellschaft
0B,Blue Air
0D,Darwin Airline
0J,JetClub
0J,Premium Jet
1A,Amadeus Global Travel Distribution
1B,Abacus International
1C,Hewlett-Packard GmbH
1D,Radixx Solutions International
1E,Travelsky Technology
1F,INFINI Travel Information
1G,Galileo International (Galileo Host)
1H,JSC Sirena-Travel
1I,Netjets
1I,Deutsche Rettungsflugwacht
1I,Novair
1I,Sky Trek International Airlines
1I,Sierra Nevada Airlines
1J,Axess international
1K,Sutra
1K,Southern Cross Distribution
1L,OpenSkies
1M,Online Reservation System Ltd.
1N,Navitaire
1P,WorldSpan
1Q,InteliSys Aviation Systems
1R,Hainan Phoenix Information Systems
1S,Sabre
1T,1time
1T,PT Aerosystems Indonesia
1U,ITA Software
1V,Galileo International (Apollo Host)
1Y,Electronic Data Systems
1Z,Sabre Pacific
2A,Deutsche Bahn
2B,Aerocondor
2C,SNCF
2D,Dynamic Airways
2E,Smokey Bay Air
2F,Payam Air
2G,Angara Airlines
2H,Thalys
2I,Star Perú
2J,Air Burkina
2K,AeroGal
2K,Avianca Ecuador
2L,Helvetic Airways
2L,Transportes Aéreos Bolivianos
2M,Moldavian Airlines
2N,Nextjet
2P,Airphil Express
2P,Air Philippines
2Q,Air Cargo Carriers
2R,Star Airlines
2S,Island Express
2T,Canada 3000
2U,Atlasjet
2U,Sun d’Or International Airlines
2V,Amtrak
2W,Welcome Air
2Y,Helenair Caribbean
2Y,My Indo Airlines
2Z,Air Plus Comet
2Z,Chang An Airlines
2Z,Passaredo Linhas Aéreas
3A,Alliance Airlines
3B,Central Connect Airlines
3C,RegionsAir
3D,Denim Air
3D,Dokasch Air Cargo Equipment
3E,Air Choice One
3F,Pacific Airways
3G,Atlant-Soyuz Airlines
3G,Moscow Airlines
3G,Gading Sari
3H,Air Inuit
3J,Jubba Airways (Kenia)
3K,Jetstar Asia Airways
3K,Tatonduk Flying Service
3L,Intersky
3M,Gulfstream International Airlines
3M,Silver Airways
3N,Air Urga
3O,Air Arabia Maroc
3P,Tiara Air
3Q,China Yunnan Airlines
3R,Avior Regional
3S,Aerologic
3S,Air Antilles Express
3T,Tarco Airlines
3T,Turan Air
3U,Sichuan Airlines
3V,TNT Airways
3W,Malawian Airlines
3W,Wan Air
3X,Japan Air Commuter
3X,Premier Trans Aire
3Z,Everts Air
3Z,Necon Air
3Z,Travel Service Polska
4A,Air Go Airlines
4A,Air Kiribati
4B,Boutique Air
4B,Perimeter Aviation
4C,AIRES
4C,LAN Colombia
4D,Air Sinai
4E,Stabo Air
4E,Tanana Air Service
4G,Advance Leasing Company
4G,Gazpromavia
4G,Shenzhen Airlines
4H,Fly Linhas Aéreas
4H,United Airways
4I,İzmir Airlines
4J,Flydamas Airlines
4K,Kenn Borek Air
4L,Air Astana
4L,Deltacraft
4M,LAN Argentina
4M,MAG Mavi Gök Airlines
4N,Air North
4O,Interjet
4P,Air Polonia
4P,Business Aviation
4P,Travel Air
4P,Viking Airlines
4Q,Air Italy Polska
4Q,Air Poland
4Q,Safi Airways
4R,Orient Eagle Airways
4R,Royal Flight Airlines
4S,Solar Cargo
4U,Germanwings
4U,Tavaj Linhas Aereas
4V,Birdy Airlines
4V,Voyageur Airways
4W,Allied Air
4W,Warbelow’s Air Ventures
4X,Avion Express Malta
4Y,Airbus Transport International
4Y,Yute Air Alaska
4Y,Discover Airlines
4Z,"Airlink (Südafrika),"
,Eswatini Airlink
5A,Alpine Aviation
5B,Bassaka Air
5B,Trans International Express
5C,Air Tahoma
5C,CAL Cargo Airlines
5D,Aerolitoral
5D,DutchBird
5E,Base Airlines
5E,East Coast Flight Services
5F,Fly One
5G,Skyservice Airlines
5H,Fly540
5J,Cebu Pacific
5K,Hi Fly
5K,Odessa Airlines
5L,AeroSur
5L,Fly Salone
5M,Montserrat Airways
5M,Sibaviatrans
5N,Nordavia
5N,SmartAvia
5O,Europe Airpost
5P,Pena Transportes Aéreos
5P,Skyeurope Hungary
5Q,BQB Líneas Aéreas
5Q,Euroceltic Airways
5R,IRS Aero
5R,Karthago Airlines
5R,RUTACA Airlines
5S,L'Aéropostale
5S,Servicios Aéreos Profesionales
5T,Canadian North
5T,Transwede Airways
5U,Transportes Aéreos Guatemaltecos
5V,Everts Air
5V,Lviv Airlines
5W,Astraeus Airlines
5W,WESTbahn Management
5X,UPS Airlines
5Y,Atlas Air
5Y,Isles of Scilly Skybus
5Z,Airfreight Express
5Z,CemAir
6A,Armenia Airways
6A,Aviacsa
6B,Blue Scandinavia
6B,Britannia Airways AB
6B,Thomsonfly AB
6B,TUIfly Nordic
6C,Cape Smythe Air Service
6D,Pelita Air Service
6E,IndiGo Airlines
6F,Primera Air Nordic
6G,Go2Sky
6G,Sun Air Express
6H,Israir
6I,Air Alsie
6J,Jubba Airways (Somalia)
6J,Solaseed Air
6K,Asian Spirit
6K,Inter Airlines
6K,Songbird Airways
6L,Aklak Air
6M,South Asia Airlines
6M,Zacarías Moreno (Frigocontainer)
6N,Aerosucre
6N,Nordic Airways
6N,Niger Airlines
6N,Rossair Europe
6Q,Cham Wings Airlines
6Q,Slovak Airlines
6S,Sahara Airlines
6T,Air Mandalay
6U,Air Ukraine
6U,Unique Air
6U,Air Cargo Germany
6V,Air Vegas
6V,Grupo Avanza
6W,Saravia / Saratov Airlines
6Y,SmartLynx Airlines
6Z,Euro-Asia Air
6Z,Ukrainian Cargo Airways
7A,Alaska Coastal Airlines
7B,Fly Blue Crane
7C,Coyne Airways
7C,Jeju Air
7D,Donbassaero
7C,MGC Aviation
7E,Sylt Air GmbH
7F,First Air
7G,MK Airlines
7G,StarFlyer
7H,Corvus Airlines
7H,Era Alaska
7H,Era Aviation
7J,Skagway Air Service
7J,Tajikistan Airlines
7J,CSafe Global
7K,Kolavia
7L,Aerocaribbean
7L,Silk Way West Airlines
7M,MAYair
7M,Mistral Air
7N,Inland Aviation Services
7N,PAWA Dominicana
7P,Air Panama
7P,APA International Air
7Q,Elite Airways
7Q,Sundance Air Venezuela
7R,RusLine
7S,Arctic Transportation Services
7T,Air-Glaciers
7T,Aero Express del Ecuador
7U,Aviaenergo
7U,Commercial Aviation Services
7V,Austin Express
7V,Federal Air
7W,Wind Rose Aviation
7Y,Mann Yadanarpon Airlines
7Y,Med Airways
7Y,Mid Airlines
7Z,Ameristar Air Cargo
7Z,Laker Airways
8A,Arctic Air
8A,Atlas Blue
8A,Panama Airways
8B,Business Air
8B,TransNusa Air Services
8C,Air Transport International
8C,Cotai Water Jet
8C,East Star Airlines
8C,Shan Xi Airlines
8D,Expo Aviation
8D,FitsAir
8D,Interavia Airlines
8D,Servant Air
8E,Bering Air
8E,Easy Fly Express
8F,Cardig Air
8F,STP Airways
8G,Angel Airlines
8G,Gulf & Caribbean Cargo
8G,Mid Africa Aviation
8H,BH Air
8H,Equaflight Service
8I,InselAir Aruba
8I,myair
8J,EcoJet
8J,Jet4you
8J,Kominteravia
8K,K-Mile Air
8L,Cargo Plus Aviation
8L,Lucky Air
8L,Newair
8M,Maxair
8M,Myanmar Airways International
8N,Aerodynamics
8N,Nordkalottflyg
8N,Regional Air Services
8O,West Coast Air
8P,Pacific Coastal Airlines
8P,Payam Aviation Services
8Q,Baker Aviation
8Q,Onur Air
8R,Sol Líneas Aéreas
8S,Scorpio Aviation
8S,Shun Tak-China Travel Ship
8T,Air Tindi
8U,Afriqiyah Airways
8U,Simon Air
8V,Astral Aviation
8V,Wright Air Service
8W,BAX Global
8Y,Air Burundi
8Y,Astro Air International
9A,Eaglexpress Air Charter
9B,AccesRail and Partner Railways
9C,Gill Airways
9C,Spring Airlines
9C,Samair
9D,Perm Airlines
9E,Endeavor Air
9F,Eurostar International
9G,9G Rail
9G,Galaxy Airways
9H,Chang An Airlines
9H,Medavia
9H,Ecoair International
9H,MDLR Airlines
9I,Alliance Air
9J,Dana Airlines
9J,Pacific Island Aviation
9K,Cape Air
9M,Central Mountain Air
9N,Trans States Airlines
9N,Tropic Air
9O,The Cargo Flights
9P,Air Arabia Jordan
9P,Pelangi Airways
9Q,Caicos Express Airways
9Q,PB Air
9R,Phuket Airlines
9R,SATENA
9S,Southern Air
9T,MyCargo Airlines
9T,Transwest Air
9U,Air Moldova
9V,Avior Airlines
9V,Vipair Airlines
9W,Jet Airways
9X,Southern Airways Express
A2,Astra Airlines
A2,Cielos del Perú
A3,Aegean Airlines
A4,Aerocon
A4,Southern Winds
A5,Airlinair
A5,Air France HOP
A5,Tikal Jets
A6,Air Alps
A7,Air Plus Comet
A7,Air Niamey
A8,Aerolíneas Paraguayas
A8,Ameriflight
A8,Benin Golf Air
A9,Georgian Airways
AA,American Airlines
AB,Air Berlin
AB,Bonza Aviation
AC,Air Canada
AD,Air Paradise
AD,Avialeasing Aviation
AD,Azul
AE,Air Ceylon
AE,Air Europe
AE,Iceland Express
AE,Mandarin Airlines
AF,Air France
AG,Air Contractors
AG,Air Ghana
AG,Aruba Airlines
AH,Air Algérie
AI,Air India
AJ,Air Belgium (1979)
AJ,Air Jordan
AJ,Aztec Airways
AK,Air Asia
AK,Airways International Cymru
AL,Air Leisure
AL,Allegheny Airlines
AL,Skyway Airlines
AL,Trans Avia Export
AM,Aeroméxico
AO,Aviaco
AO,AviaNova
AO,Australian Airlines
AP,Air One
AP,Alba Star
AQ,9 Air
AQ,Aloha Airlines
AQ,Aquila Airways
AR,Aerolíneas Argentinas
AS,Alaska Airlines
AT,Royal Air Maroc
AU,Austral
AV,Avianca
AW,Dirgantara Air Services
AW,Schreiner Airways
AW,Venezolana
AX,Trans States Airlines
AY,Finnair
AZ,Alitalia
AZ,ITA Airways
B0,La Compagnie
B1,Bravo Passenger Solutions
B2,Belavia
B3,Bellview Airlines
B4,ZanAir
B4,B.A.C.H. Flugbetrieb
B4,Bankair
B5,Amadeus Flugdienst
B5,Flightline
B6,JetBlue Airways
B7,Uni Air
B8,Eritrean Airlines
B9,Air Bangladesh
B9,Iran Airtour
BA,British Airways
BA,British Overseas Airways Corporation
BB,Seaborne Airlines
BC,Skymark Airlines
BD,British Midland Airways / bmi
BD,Cambodia Bayon Airlines
BE,British European Airways
BE,Flybe
BE,Jersey European Airways
BF,Bluebird Cargo
BF,Aéro-Service
BG,Biman Bangladesh Airlines
BH,Hawkair
BH,Bismillah Airlines
BI,Royal Brunei Airlines
BJ,Bakhtar Afghan Airlines
BJ,Nouvelair
BK,BKS Air Transport
BK,MidAtlantic Airways
BK,Okay Airways
BK,Potomac Air
BL,JetstarPacific
BM,Aero Trasporti Italiani (ATI)
BM,Air Sicilia
BM,Bakhtar Afghan Airline
BM,Bayu Indonesia Air
BM,bmi regional
BN,Braniff International Airways
BN,Braniff
BO,Air Columbus
BO,Bouraq Indonesia Airlines
BP,Air Botswana
BQ,Aeromar Líneas Aéreas Dominicanas
BR,British Caledonian Airways
BR,British United Airways
BR,EVA Air
BS,British International Helicopters
BS,Busy Bee of Norway
BS,CHC Scotia
BS,US-Bangla Airlines
BT,AirBaltic
BU,Braathens
BU,Compagnie Africaine d'Aviation
BU,SAS Norge
BV,Blue Panorama Airlines
BW,BWIA West Indies Airways
BW,Caribbean Airlines
BY,Britannia Airways
